pipeline_depth,parallel_units,intermediate_buffer_kb,tile_npw,tile_nkb,tile_m,dma_channels,pcie_gen,offload_strategy,dataflow_pattern,psi_strategy,beta_strategy,h_psi_impl,gemm_impl,overlap_policy,trial_index,avg_time_s,avg_energy_j,max_time_s,max_energy_j,std_time_s,std_energy_j,avg_dsp_utilization,avg_bram_utilization
4,4,512,2048,64,32,1,4,h_s_psi_fused,streaming,tile,stream,mixed,systolic,full_pipeline,0,3.6939969448953826e-05,0.001957818380794553,8.51854200487013e-05,0.0045148272625811685,2.607456607294979e-05,0.0013819520018663388,0.0390625,0.0451764705882353
3,2,256,1024,144,16,4,4,include_diag,streaming,resident,cache,mixed,winograd,compute_dma,1,8.80051876432391e-05,0.003608212693372803,0.00021273336038961038,0.008722067775974025,6.634990388667171e-05,0.00272034605935354,0.021158854166666668,0.015058823529411767
4,2,256,2048,144,32,2,4,include_diag,streaming,resident,cache,systolic,winograd,compute_dma,2,7.387993889790765e-05,0.0031768373726100293,0.0001703708400974026,0.007325946124188311,5.214913214589958e-05,0.002242412682273682,0.022786458333333332,0.03764705882352941
4,4,128,1024,144,16,4,4,h_psi_only,buffered,tile,stream,fft_dsp,systolic,none,3,4.571380580357144e-05,0.002422831707589286,0.00011050316220238096,0.0058566675967261905,3.4465088963354474e-05,0.0018266497150577871,0.0390625,0.011294117647058824
5,2,64,1024,64,16,1,4,full_operator_sweep,streaming,tile,stream,fft_bram,systolic,compute_dma,4,7.874148368079288e-05,0.0035433667656356803,0.00019034037508544087,0.008565316878844839,5.9365703477548375e-05,0.002671456656489677,0.0244140625,0.009411764705882352
5,2,1024,256,32,16,4,4,full_operator_sweep,buffered,resident,stream,fft_dsp,systolic,none,5,0.00014436538533834587,0.006496442340225564,0.00040035479323308274,0.018015965695488724,0.00013203823104339303,0.005941720396952687,0.0244140625,0.032
2,8,512,1024,64,4,2,3,h_psi_only,hybrid,resident,stream,fft_bram,systolic,none,6,2.454519686612216e-05,0.0016936185837624288,5.933266379616477e-05,0.004093953801935369,1.8505402880892032e-05,0.00127687279878155,0.068359375,0.016941176470588234
2,8,256,2048,64,4,4,3,include_diag,hybrid,stream,cache,mixed,dsp_array,compute_dma,7,2.1817669455788352e-05,0.0015054191924493963,5.03126387162642e-05,0.0034715720714222297,1.5400290586835967e-05,0.0010626200504916818,0.068359375,0.011294117647058824
2,1,512,2048,16,16,4,3,h_psi_only,hybrid,stream,stream,fft_bram,winograd,full_pipeline,8,0.00017454135564630682,0.005934406091974431,0.0004025011097301136,0.013685037730823862,0.00012320232469468774,0.004188879039619384,0.011393229166666666,0.030117647058823534
4,2,256,256,32,16,1,4,include_diag,buffered,stream,resident,fft_dsp,dsp_array,full_pipeline,9,0.00015238568452380957,0.00655258443452381,0.00042259672619047626,0.01817165922619048,0.00013937368832358152,0.005993068597914007,0.022786458333333332,0.009411764705882352
3,4,256,1024,64,16,4,5,h_psi_only,streaming,stream,cache,mixed,winograd,none,10,4.400259382161955e-05,0.0022441322849025974,0.00010636668019480519,0.005424700689935065,3.3174951943335856e-05,0.001691922549110129,0.037434895833333336,0.015058823529411767
4,2,256,512,32,8,4,3,h_psi_only,buffered,resident,resident,mixed,systolic,none,11,0.00011174696924603177,0.004805119677579366,0.00028820312500000005,0.012392734375000002,9.228769257216805e-05,0.003968370780603226,0.022786458333333332,0.009411764705882352
4,1,1024,512,64,32,2,5,h_s_psi_fused,streaming,resident,cache,fft_bram,systolic,none,12,0.00020317630772005772,0.007720699693362194,0.0005240056818181819,0.01991221590909091,0.00016779580467666917,0.006376240577713428,0.0146484375,0.03764705882352941
2,8,128,2048,64,8,1,4,full_operator_sweep,hybrid,tile,stream,mixed,systolic,full_pipeline,13,2.1817669455788352e-05,0.0015054191924493963,5.03126387162642e-05,0.0034715720714222297,1.5400290586835967e-05,0.0010626200504916818,0.068359375,0.011294117647058824
2,2,512,1024,32,32,1,5,full_operator_sweep,buffered,resident,cache,fft_bram,winograd,compute_dma,14,0.0001028560630580357,0.004011386459263392,0.0002486321149553571,0.009696652483258928,7.754645016754756e-05,0.003024311556534355,0.01953125,0.030117647058823534
2,2,128,512,32,4,4,3,h_psi_only,buffered,stream,stream,fft_bram,dsp_array,full_pipeline,15,0.0001257153404017857,0.004902898275669643,0.000324228515625,0.012644912109375002,0.00010382365414368904,0.0040491225116038735,0.01953125,0.004705882352941176
2,8,1024,256,144,16,1,3,h_psi_only,hybrid,resident,stream,mixed,winograd,compute_dma,16,4.0910361328125e-05,0.0028228149316406248,0.00011345281427556818,0.007828244185014205,3.741708393914333e-05,0.0025817787918008903,0.068359375,0.032
4,4,128,512,144,4,1,3,full_operator_sweep,buffered,tile,cache,fft_bram,winograd,full_pipeline,17,5.587348462301588e-05,0.002961294685019842,0.00014410156250000002,0.007637382812500001,4.6143846286084025e-05,0.002445623853162453,0.0390625,0.004705882352941176
5,1,1024,512,144,8,2,4,include_diag,streaming,tile,cache,systolic,systolic,compute_dma,18,0.00019248281784005466,0.007699312713602187,0.0004964264354066985,0.01985705741626794,0.00015896444653579181,0.006358577861431672,0.016276041666666668,0.032
