parameters,result
"{'pipeline_depth': 2, 'parallel_units': 8, 'intermediate_buffer_kb': 512, 'tile_npw': 512, 'tile_nkb': 32, 'tile_m': 16, 'dma_channels': 2, 'pcie_gen': 4, 'offload_strategy': 'h_psi_only', 'dataflow_pattern': 'streaming', 'psi_strategy': 'tile', 'beta_strategy': 'resident', 'h_psi_impl': 'fft_bram', 'gemm_impl': 'dsp_array', 'overlap_policy': 'none'}","{'time_s': 2.3667046088676948e-05, 'energy_j': 0.0016330261801187093, 'area': {'dsp_count': 840, 'dsp_utilization': 0.068359375, 'bram_kb': 640.0, 'bram_utilization': 0.018823529411764704, 'lut_count': 48400.0}, 'feasible': True}"
"{'pipeline_depth': 5, 'parallel_units': 8, 'intermediate_buffer_kb': 256, 'tile_npw': 2048, 'tile_nkb': 16, 'tile_m': 32, 'dma_channels': 1, 'pcie_gen': 3, 'offload_strategy': 'include_diag', 'dataflow_pattern': 'hybrid', 'psi_strategy': 'resident', 'beta_strategy': 'cache', 'h_psi_impl': 'mixed', 'gemm_impl': 'dsp_array', 'overlap_policy': 'none'}","{'time_s': 1.7279390092329548e-05, 'energy_j': 0.001295954256924716, 'area': {'dsp_count': 900, 'dsp_utilization': 0.0732421875, 'bram_kb': 1280.0, 'bram_utilization': 0.03764705882352941, 'lut_count': 57800.0}, 'feasible': True}"
"{'pipeline_depth': 3, 'parallel_units': 8, 'intermediate_buffer_kb': 256, 'tile_npw': 1024, 'tile_nkb': 16, 'tile_m': 8, 'dma_channels': 2, 'pcie_gen': 3, 'offload_strategy': 'h_psi_only', 'dataflow_pattern': 'buffered', 'psi_strategy': 'resident', 'beta_strategy': 'resident', 'h_psi_impl': 'fft_dsp', 'gemm_impl': 'dsp_array', 'overlap_policy': 'full_pipeline'}","{'time_s': 2.1655378479516806e-05, 'energy_j': 0.0015375318720456932, 'area': {'dsp_count': 860, 'dsp_utilization': 0.06998697916666667, 'bram_kb': 384.0, 'bram_utilization': 0.011294117647058824, 'lut_count': 46840.0}, 'feasible': True}"
"{'pipeline_depth': 2, 'parallel_units': 2, 'intermediate_buffer_kb': 512, 'tile_npw': 2048, 'tile_nkb': 64, 'tile_m': 32, 'dma_channels': 1, 'pcie_gen': 3, 'offload_strategy': 'include_diag', 'dataflow_pattern': 'hybrid', 'psi_strategy': 'tile', 'beta_strategy': 'stream', 'h_psi_impl': 'fft_dsp', 'gemm_impl': 'systolic', 'overlap_policy': 'compute_dma'}","{'time_s': 8.207710293856534e-05, 'energy_j': 0.003201007014604048, 'area': {'dsp_count': 240, 'dsp_utilization': 0.01953125, 'bram_kb': 1536.0, 'bram_utilization': 0.0451764705882353, 'lut_count': 27360.0}, 'feasible': True}"
"{'pipeline_depth': 3, 'parallel_units': 2, 'intermediate_buffer_kb': 64, 'tile_npw': 2048, 'tile_nkb': 64, 'tile_m': 16, 'dma_channels': 4, 'pcie_gen': 5, 'offload_strategy': 'include_diag', 'dataflow_pattern': 'hybrid', 'psi_strategy': 'stream', 'beta_strategy': 'cache', 'h_psi_impl': 'mixed', 'gemm_impl': 'systolic', 'overlap_policy': 'none'}","{'time_s': 7.724903805982621e-05, 'energy_j': 0.003167210560452875, 'area': {'dsp_count': 260, 'dsp_utilization': 0.021158854166666668, 'bram_kb': 576.0, 'bram_utilization': 0.016941176470588234, 'lut_count': 18760.0}, 'feasible': True}"
"{'pipeline_depth': 5, 'parallel_units': 8, 'intermediate_buffer_kb': 512, 'tile_npw': 1024, 'tile_nkb': 64, 'tile_m': 32, 'dma_channels': 4, 'pcie_gen': 5, 'offload_strategy': 'h_s_psi_fused', 'dataflow_pattern': 'streaming', 'psi_strategy': 'tile', 'beta_strategy': 'stream', 'h_psi_impl': 'systolic', 'gemm_impl': 'winograd', 'overlap_policy': 'none'}","{'time_s': 1.761442268668831e-05, 'energy_j': 0.0013210817015016233, 'area': {'dsp_count': 900, 'dsp_utilization': 0.0732421875, 'bram_kb': 1024.0, 'bram_utilization': 0.03011764705882353, 'lut_count': 55240.0}, 'feasible': True}"
"{'pipeline_depth': 3, 'parallel_units': 2, 'intermediate_buffer_kb': 64, 'tile_npw': 512, 'tile_nkb': 144, 'tile_m': 8, 'dma_channels': 1, 'pcie_gen': 3, 'offload_strategy': 'include_diag', 'dataflow_pattern': 'streaming', 'psi_strategy': 'stream', 'beta_strategy': 'cache', 'h_psi_impl': 'fft_dsp', 'gemm_impl': 'systolic', 'overlap_policy': 'compute_dma'}","{'time_s': 8.909946762796028e-05, 'energy_j': 0.003653078172746371, 'area': {'dsp_count': 260, 'dsp_utilization': 0.021158854166666668, 'bram_kb': 128.0, 'bram_utilization': 0.0037647058823529413, 'lut_count': 14280.0}, 'feasible': True}"
"{'pipeline_depth': 5, 'parallel_units': 8, 'intermediate_buffer_kb': 1024, 'tile_npw': 512, 'tile_nkb': 16, 'tile_m': 8, 'dma_channels': 4, 'pcie_gen': 5, 'offload_strategy': 'h_psi_only', 'dataflow_pattern': 'streaming', 'psi_strategy': 'stream', 'beta_strategy': 'stream', 'h_psi_impl': 'fft_bram', 'gemm_impl': 'winograd', 'overlap_policy': 'full_pipeline'}","{'time_s': 1.9930144074675324e-05, 'energy_j': 0.0014947608056006493, 'area': {'dsp_count': 900, 'dsp_utilization': 0.0732421875, 'bram_kb': 1088.0, 'bram_utilization': 0.032, 'lut_count': 55880.0}, 'feasible': True}"
"{'pipeline_depth': 5, 'parallel_units': 2, 'intermediate_buffer_kb': 1024, 'tile_npw': 1024, 'tile_nkb': 32, 'tile_m': 16, 'dma_channels': 1, 'pcie_gen': 4, 'offload_strategy': 'full_operator_sweep', 'dataflow_pattern': 'streaming', 'psi_strategy': 'tile', 'beta_strategy': 'cache', 'h_psi_impl': 'mixed', 'gemm_impl': 'winograd', 'overlap_policy': 'full_pipeline'}","{'time_s': 7.045769074675325e-05, 'energy_j': 0.003170596083603896, 'area': {'dsp_count': 300, 'dsp_utilization': 0.0244140625, 'bram_kb': 1280.0, 'bram_utilization': 0.03764705882352941, 'lut_count': 27800.0}, 'feasible': True}"
"{'pipeline_depth': 2, 'parallel_units': 1, 'intermediate_buffer_kb': 512, 'tile_npw': 1024, 'tile_nkb': 144, 'tile_m': 16, 'dma_channels': 4, 'pcie_gen': 5, 'offload_strategy': 'h_psi_only', 'dataflow_pattern': 'buffered', 'psi_strategy': 'tile', 'beta_strategy': 'resident', 'h_psi_impl': 'mixed', 'gemm_impl': 'systolic', 'overlap_policy': 'full_pipeline'}","{'time_s': 0.00018407071707589285, 'energy_j': 0.006258404380580357, 'area': {'dsp_count': 140, 'dsp_utilization': 0.011393229166666666, 'bram_kb': 768.0, 'bram_utilization': 0.02258823529411765, 'lut_count': 14680.0}, 'feasible': True}"
