workload_id,category,material,npw,nkb,nbnd,compute_intensity,l1_pressure,l2_pressure,fft_pressure,projector_density,band_scaling,problem_size,size_category,solver_complexity,intensity_class,working_set_kb,total_flops,total_bytes
si8_pbe_uspp,semiconductor,Silicon (Si),2945,144,16,17.375480111513536,24.1328125,3.0166015625,0.718994140625,0.048896434634974534,1.0,47120,small,1.0,compute_bound,772.25,13740251.66450312,790784
gan_wurtzite_pbe,semiconductor,Gallium Nitride (GaN),4200,96,20,11.915706213529754,41.953125,5.244140625,1.025390625,0.022857142857142857,1.25,84000,medium,1.5,compute_bound,1342.5,16380759.645863622,1374720
gaas_zincblende_pbe,semiconductor,Gallium Arsenide (GaAs),3800,128,24,15.628410271847121,46.03125,5.75390625,0.927734375,0.03368421052631579,1.5,91200,medium,1.5,compute_bound,1473.0,23573143.89036115,1508352
graphene_pbe_uspp,2d_material,Graphene,1850,32,8,4.348736024622593,7.3515625,0.9189453125,0.45166015625,0.017297297297297298,0.5,14800,small,1.0,balanced,235.25,1047593.113387484,240896
mos2_monolayer_pbe,2d_material,Molybdenum Disulfide (MoS2),2800,80,14,9.97072940780886,19.6875,2.4609375,0.68359375,0.02857142857142857,0.875,39200,small,1.5,compute_bound,630.0,6432316.955565653,645120
hbn_monolayer_pbe,2d_material,Hexagonal Boron Nitride (h-BN),2100,48,10,6.203095387953363,10.48828125,1.31103515625,0.5126953125,0.022857142857142857,0.625,21000,small,1.0,compute_bound,335.625,2131879.8229318117,343680
tio2_rutile_pbe,oxide,Titanium Dioxide (TiO2),3500,112,24,13.714434189361267,42.328125,5.291015625,0.8544921875,0.032,1.5,84000,medium,1.5,compute_bound,1354.5,19022029.936117593,1387008
zno_wurtzite_pbe,oxide,Zinc Oxide (ZnO),3900,96,20,11.893628424493572,39.0234375,4.8779296875,0.9521484375,0.024615384615384615,1.25,78000,medium,1.5,compute_bound,1248.75,15208620.538968422,1278720
fe_bcc_pbe_spin,magnetic,Iron (Fe),2200,64,16,7.9845823312799045,17.6875,2.2109375,0.537109375,0.02909090909090909,1.0,35200,small,1.5,compute_bound,566.0,4627736.165892532,579584
benzene_pbe_uspp,organic,Benzene (C6H6),8500,96,24,12.034050176817729,100.734375,12.591796875,2.0751953125,0.011294117647058824,1.5,204000,large,1.0,compute_bound,3223.5,39722763.00285128,3300864
water_dimer_pbe,organic,Water Dimer (H2O)2,4200,48,16,6.164628617385777,33.1875,4.1484375,1.025390625,0.011428571428571429,1.0,67200,medium,1.0,compute_bound,1062.0,6703959.645863623,1087488
perovskite_catio3_pbe,oxide,Calcium Titanate (CaTiO3),2600,96,20,11.743643182959598,26.328125,3.291015625,0.634765625,0.036923076923076927,1.25,52000,medium,1.5,compute_bound,842.5,10131475.846802905,862720
